"crawl_timestamp","Col1","retail_price","is_FK_Advantage_product","brand","Demand"
2015-12-04,"Footwear",3495,0,"",1.33346051125525
2015-12-04,"Watches",1699,1,"",2.00117785630153
2015-12-04,"Footwear",1599,0,"",2.50234741784038
2015-12-04,"Footwear",3295,0,"",1.37578288100209
2015-12-04,"Watches",1099,0,"",2.75438596491228
2015-12-04,"Clothing",3295,0,"Regular",1.81843267108168
2015-12-04,"Footwear",3499,0,"",1.5386983289358
2015-12-04,"Watches",350,0,"",1
2015-12-04,"Footwear",3695,0,"",1.33345362684951
2015-12-04,"Watches",201000,0,"",1
2015-12-04,"Footwear",3399,0,"",2.50110375275938
2015-12-04,"Footwear",2199,0,"",1.37523452157598
2015-12-04,"Watches",1200,0,"",3.00751879699248
2015-12-04,"Watches",1550,0,"",2.95238095238095
2015-12-04,"Footwear",2999,0,"",1.25010421008754
2015-12-04,"Footwear",2299,0,"",2.55728587319244
2015-12-04,"Footwear",3999,0,"",1.14289797084881
2015-12-04,"Footwear",2299,0,"",1.11116481391977
2015-12-04,"Watches",375,0,"",1.42585551330798
2015-12-04,"Watches",1199,0,"",1.25026068821689
2015-12-04,"Footwear",2199,0,"",2.00090991810737
2015-12-04,"Watches",475,1,"",1.42642642642643
2015-12-04,"Watches",1095,0,"",1.84033613445378
2015-12-04,"Watches",399,0,"",2.77083333333333
2015-12-04,"Footwear",3999,0,"",1
2015-12-04,"Watches",3999,0,"",4.44827586206897
2015-12-04,"Footwear",1799,0,"",2.00111234705228
2015-12-04,"Watches",1299,0,"",2.36612021857924
2015-12-04,"Clothing",4999,0,"Regular",2.63243812532912
2015-12-04,"Footwear",2995,0,"",1
2015-12-04,"Footwear",2499,0,"",2.17493472584856
2015-12-04,"Watches",4999,0,"",4.76549094375596
2015-12-04,"Footwear",2299,0,"",2.55728587319244
2015-12-04,"Footwear",3999,0,"",2.35929203539823
2015-12-04,"Watches",1795,0,"",1.05899705014749
2015-12-04,"Footwear",1200,0,"",2.00333889816361
2015-12-04,"Footwear",3499,0,"",1
2015-12-04,"Watches",799,0,"",3.995
2015-12-04,"Footwear",2499,0,"",2.17493472584856
2015-12-04,"Watches",585,1,"",1.11216730038023
2015-12-04,"Footwear",3499,0,"",1.98243626062323
2015-12-04,"Watches",1925,0,"",1.05248769819574
2015-12-04,"Footwear",19995,1,"",2.000100030009
2015-12-04,"Clothing",2699,1,"",1.66707844348363
2015-12-04,"Footwear",2999,0,"",2.50125104253545
2015-12-04,"Watches",1299,0,"",4.34448160535117
2015-12-04,"Watches",999,0,"",6.66
2015-12-04,"Watches",235,0,"",1.56666666666667
2015-12-04,"Footwear",1499,0,"",1.18031496062992
2015-12-04,"Footwear",2899,0,"",1.70629782224838
2015-12-04,"Footwear",4499,0,"",1.28579594169763
2015-12-04,"Watches",999,0,"",6.70469798657718
2015-12-04,"Watches",2499,0,"",1.47086521483225
2015-12-04,"Footwear",2799,0,"",2.15473441108545
2015-12-04,"Watches",1395,0,"",3.98571428571429
2015-12-04,"Footwear",499,0,"",1
2015-12-04,"Footwear",2999,0,"",1.57925223802001
2015-12-04,"Footwear",2199,0,"",2.00090991810737
2015-12-04,"Watches",2499,0,"",2.7797552836485
2015-12-04,"Footwear",999,0,"",2.00200400801603
2015-12-04,"Clothing",2499,1,"Skinny Fit",2.00080064051241
2015-12-04,"Footwear",1000,0,"",2.00400801603206
2015-12-04,"Footwear",3199,0,"",1.25009769441188
2015-12-04,"Watches",645,0,"",1
2015-12-04,"Footwear",3499,0,"",2.06430678466077
2015-12-04,"Watches",399,0,"",2.50943396226415
2015-12-04,"Footwear",2499,0,"",2.00080064051241
2015-12-04,"Footwear",2499,0,"",1.25012506253127
2015-12-04,"Watches",1299,0,"",1.66538461538462
2015-12-04,"Footwear",2295,0,"",1
2015-12-04,"Watches",349,0,"",1.40160642570281
2015-12-04,"Footwear",4495,0,"",1
2015-12-04,"Footwear",2099,1,"",1
2015-12-04,"Watches",2345,0,"",1.98897370653096
2015-12-04,"Footwear",1899,0,"",1.9009009009009
2015-12-04,"Footwear",1995,0,"",1
2015-12-04,"Watches",1799,0,"",1.50041701417848
2015-12-04,"Footwear",3299,0,"",1.99939393939394
2015-12-04,"Watches",600,0,"",1
2015-12-04,"Watches",1350,0,"",1
2015-12-04,"Footwear",3499,0,"",1.25008931761343
2015-12-04,"Footwear",2499,0,"",1.04168403501459
2015-12-04,"Footwear",3999,0,"",2.2657223796034
2015-12-04,"Footwear",3999,0,"",2.00050025012506
2015-12-04,"Footwear",1599,0,"",2.50234741784038
2015-12-04,"Watches",2850,0,"",1.81876196553925
2015-12-04,"Footwear",2795,0,"",1.55277777777778
2015-12-04,"Footwear",4995,0,"",1.33342231713828
2015-12-04,"Watches",999,0,"",3.34113712374582
2015-12-04,"Footwear",3499,1,"",2.22299872935197
2015-12-04,"Watches",1100,0,"",1.375
2015-12-04,"Footwear",1200,0,"",2.00333889816361
2015-12-04,"Watches",8995,0,"",1.05266237565828
2015-12-04,"Footwear",4195,0,"",2.04634146341463
2015-12-04,"Watches",1250,0,"",1.25125125125125
2015-12-04,"Footwear",1999,0,"",4.0060120240481
2015-12-04,"Watches",1350,0,"",2.43243243243243
2015-12-04,"Footwear",1799,0,"",2.50208623087622
2015-12-04,"Footwear",3199,0,"",1.25009769441188
2015-12-04,"Watches",1499,0,"",1.5005005005005
2015-12-04,"Footwear",799,0,"",1.14306151645207
2015-12-04,"Watches",1095,0,"",1.84033613445378
2015-12-04,"Footwear",3199,0,"",1.25009769441188
2015-12-04,"Footwear",3499,0,"",1.66698427822773
2015-12-04,"Footwear",1050,0,"",2.33853006681514
2015-12-04,"Footwear",4495,0,"",2.37203166226913
2015-12-04,"Footwear",3999,0,"",2.00050025012506
2015-12-04,"Footwear",3499,0,"",7.01202404809619
2015-12-04,"Watches",1999,0,"",7.62977099236641
2015-12-04,"Footwear",1820,0,"",1
2015-12-04,"Watches",2495,0,"",1
2015-12-04,"Footwear",2799,0,"",2.15473441108545
2015-12-04,"Watches",2499,0,"",2.00080064051241
2015-12-04,"Footwear",1999,0,"",2.001001001001
2015-12-04,"Watches",1299,0,"",1.2502406159769
2015-12-04,"Footwear",2095,0,"",2.0970970970971
2015-12-04,"Footwear",3295,0,"",1.37578288100209
2015-12-04,"Footwear",4395,0,"",2.04418604651163
2015-12-04,"Watches",8995,0,"",1.20013342228152
2015-12-04,"Footwear",5999,0,"",1.87527352297593
2015-12-04,"Footwear",3599,0,"",1.42874156411274
2015-12-04,"Watches",2499,0,"",4.17195325542571
2015-12-04,"Footwear",2199,0,"",2.00090991810737
2015-12-04,"Watches",1990,0,"",2.84692417739628
2015-12-04,"Footwear",2650,0,"",1
2015-12-04,"Watches",2999,0,"",3.01407035175879
2015-12-04,"Footwear",1500,0,"",2.50417362270451
2015-12-04,"Watches",1800,0,"",2
2015-12-04,"Footwear",2799,0,"",1.25011165698973
2015-12-04,"Watches",1999,0,"",2.3545347467609
2015-12-04,"Footwear",3350,0,"",1.76315789473684
2015-12-04,"Footwear",2799,0,"",2.15473441108545
2015-12-04,"Footwear",3495,0,"",1.33346051125525
2015-12-04,"Watches",1299,0,"",4.34448160535117
2015-12-04,"Watches",1495,0,"",1.11152416356877
2015-12-04,"Footwear",1200,0,"",2.00333889816361
2015-12-04,"Watches",1095,0,"",1.84033613445378
2015-12-04,"Footwear",3499,0,"",1.94930362116992
2015-12-04,"Watches",795,0,"",1
2015-12-04,"Watches",2150,0,"",2.26315789473684
2015-12-04,"Footwear",1499,0,"",1.5005005005005
2015-12-04,"Watches",299,0,"",1
2015-12-04,"Footwear",999,0,"",2.00200400801603
2015-12-04,"Watches",1645,0,"",1.25
2015-12-04,"Footwear",1999,0,"",4.0060120240481
