"Col1","retail_price","is_FK_Advantage_product","brand","Demand"
"Watches",1395,0,"",3.98571428571429
"Footwear",499,0,"",1
"Footwear",2999,0,"",1.57925223802001
"Footwear",2199,0,"",2.00090991810737
"Watches",2499,0,"",2.7797552836485
"Footwear",999,0,"",2.00200400801603
"Clothing",2499,1,"Skinny Fit",2.00080064051241
"Footwear",1000,0,"",2.00400801603206
"Footwear",3199,0,"",1.25009769441188
"Watches",645,0,"",1
"Footwear",3499,0,"",2.06430678466077
"Watches",399,0,"",2.50943396226415
"Footwear",2499,0,"",2.00080064051241
"Footwear",2499,0,"",1.25012506253127
"Watches",1299,0,"",1.66538461538462
"Footwear",2295,0,"",1
"Watches",349,0,"",1.40160642570281
"Footwear",4495,0,"",1
"Footwear",2099,1,"",1
"Watches",2345,0,"",1.98897370653096
"Footwear",1899,0,"",1.9009009009009
"Footwear",1995,0,"",1
"Watches",1799,0,"",1.50041701417848
"Footwear",3299,0,"",1.99939393939394
"Watches",600,0,"",1
"Watches",1350,0,"",1
"Footwear",3499,0,"",1.25008931761343
"Footwear",2499,0,"",1.04168403501459
"Footwear",3999,0,"",2.2657223796034
"Footwear",3999,0,"",2.00050025012506
"Footwear",1599,0,"",2.50234741784038
"Watches",2850,0,"",1.81876196553925
"Footwear",2795,0,"",1.55277777777778
"Footwear",4995,0,"",1.33342231713828
"Watches",999,0,"",3.34113712374582
"Footwear",3499,1,"",2.22299872935197
"Watches",1100,0,"",1.375
"Footwear",1200,0,"",2.00333889816361
"Watches",8995,0,"",1.05266237565828
"Footwear",4195,0,"",2.04634146341463
"Watches",1250,0,"",1.25125125125125
"Footwear",1999,0,"",4.0060120240481
"Watches",1350,0,"",2.43243243243243
"Footwear",1799,0,"",2.50208623087622
"Footwear",3199,0,"",1.25009769441188
"Watches",1499,0,"",1.5005005005005
"Footwear",799,0,"",1.14306151645207
"Watches",1095,0,"",1.84033613445378
"Footwear",3199,0,"",1.25009769441188
"Footwear",3499,0,"",1.66698427822773
"Footwear",1050,0,"",2.33853006681514
"Footwear",4495,0,"",2.37203166226913
"Footwear",3999,0,"",2.00050025012506
"Footwear",3499,0,"",7.01202404809619
"Watches",1999,0,"",7.62977099236641
"Footwear",1820,0,"",1
"Watches",2495,0,"",1
"Footwear",2799,0,"",2.15473441108545
"Watches",2499,0,"",2.00080064051241
"Footwear",1999,0,"",2.001001001001
"Watches",1299,0,"",1.2502406159769
"Footwear",2095,0,"",2.0970970970971
"Footwear",3295,0,"",1.37578288100209
"Footwear",4395,0,"",2.04418604651163
"Watches",8995,0,"",1.20013342228152
"Footwear",5999,0,"",1.87527352297593
"Footwear",3599,0,"",1.42874156411274
"Watches",2499,0,"",4.17195325542571
"Footwear",2199,0,"",2.00090991810737
"Watches",1990,0,"",2.84692417739628
"Footwear",2650,0,"",1
"Watches",2999,0,"",3.01407035175879
"Footwear",1500,0,"",2.50417362270451
"Watches",1800,0,"",2
"Footwear",2799,0,"",1.25011165698973
"Watches",1999,0,"",2.3545347467609
"Footwear",3350,0,"",1.76315789473684
"Footwear",2799,0,"",2.15473441108545
"Footwear",3495,0,"",1.33346051125525
"Watches",1299,0,"",4.34448160535117
"Watches",1495,0,"",1.11152416356877
"Footwear",1200,0,"",2.00333889816361
"Watches",1095,0,"",1.84033613445378
"Footwear",3499,0,"",1.94930362116992
"Watches",795,0,"",1
"Watches",2150,0,"",2.26315789473684
"Footwear",1499,0,"",1.5005005005005
"Watches",299,0,"",1
"Footwear",999,0,"",2.00200400801603
"Watches",1645,0,"",1.25
"Footwear",1999,0,"",4.0060120240481
"Watches",1299,0,"",1.44493882091212
"Footwear",5999,0,"",1.66685190330647
"Footwear",3250,0,"",1.80555555555556
"Footwear",3599,0,"",1.50020842017507
"Footwear",2199,0,"",2.00090991810737
"Watches",1299,0,"",2.60320641282565
"Footwear",1399,0,"",1.4004004004004
"Footwear",2999,0,"",2.50125104253545
"Watches",1499,0,"",2.5025041736227
"Footwear",2799,0,"",1.25011165698973
"Watches",750,0,"",1
"Watches",2399,0,"",5.00835073068894
"Footwear",2299,0,"",1.43777360850532
"Footwear",1799,0,"",2.50208623087622
"Footwear",4695,0,"",1.33342800340812
"Watches",6995,0,"",1.05267118133935
"Footwear",2495,0,"",1.38688160088938
"Watches",2195,0,"",1.8185584092792
"Footwear",3499,0,"",1.25008931761343
"Watches",1299,0,"",2.03286384976526
"Footwear",2299,0,"",2.00087032201915
"Watches",1235,0,"",1
"Footwear",2799,0,"",2.15473441108545
"Watches",1499,0,"",2.5025041736227
"Watches",650,0,"",1
"Footwear",2795,0,"",1
"Sports",1195,0,"ezyPRNT",2.00840336134454
"Sports",1195,0,"ezyPRNT",2.00840336134454
"Sports",1195,0,"ezyPRNT",2.00840336134454
"Sports",1195,0,"ezyPRNT",2.00840336134454
"Clothing",500,0,"Traditions",1.2531328320802
"Home",2199,0,"First Choice",2.2461695607763
"Clothing",899,0,"Eccellente",2.67559523809524
"Pens",1799,0,"Nechams",2.25156445556946
"Clothing",500,0,"Traditions",1.2531328320802
"Home",2199,0,"First Choice",2.2461695607763
"Home",2199,0,"First Choice",2.2461695607763
"Sports",1399,0,"JASPO",1.81688311688312
"Clothing",1775,0,"Masaba for Magic fairy",1.1107634543179
"Clothing",3999,0,"Momin Libas",1.66763969974979
"Mobiles",990,0,"ACM",2.92035398230089
"Toys",999,0,"A R ENTERPRISES",3.34113712374582
"Home",2199,0,"First Choice",2.2461695607763
"Home",2199,0,"SANTOSH ROYAL FASHION",2.2461695607763
"Home",2199,0,"First Choice",2.2461695607763
"Footwear",799,0,"ShoeBuzz",3.23481781376518
"Footwear",499,0,"Zed",1
"Home",1160,0,"House This",1
"Mobiles",990,0,"ACM",2.92035398230089
"Jewellery",2000,0,"womaniya",1.66666666666667
"Jewellery",665,0,"Taj Pearl",1.66666666666667
"Sports",2299,0,"JASPO",1.81023622047244
"Jewellery",665,0,"Taj Pearl",1.66666666666667
"Toys",199,0,"Bento",3.15873015873016
"Clothing",1495,0,"Wake Up Competition",1.99866310160428
"Jewellery",665,0,"Taj Pearl",1.66666666666667
"Jewellery",665,0,"Taj Pearl",1.66666666666667
"Footwear",1299,0,"JQR",1
"Footwear",999,0,"JQR",1
"Clothing",1099,0,"Great Art",2.22920892494929
"Bags",1599,0,"Zoe Marciano",2.28755364806867
"Bags",1599,0,"Zoe Marciano",2.28755364806867
"Bags",1899,0,"Kleio",1.9009009009009
"Home",1733,0,"Skipper",1.6679499518768
"Clothing",4999,0,"Mizuno",1
"Sports",1637,0,"Turbo",2.00122249388753
"Sports",1232,0,"Turbo",2
"Home",1250,0,"Pure Source",3.33333333333333
